580774	1	a	bir	artikel	I'm a man.	Ben bir erkeğim.	https://audio.tatoeba.org/sentences/eng/580774.mp3	[sound:580774.mp3]
2242978	8	be	-dir	I am. You are. He is.	They're fat.	Onlar şişmanlar.	https://audio.tatoeba.org/sentences/eng/2242978.mp3	[sound:2242978.mp3]
2202690	8	be	-dir	I am. You are. He is.	You're cool.	Sen sakinsin.	https://audio.tatoeba.org/sentences/eng/2202690.mp3	[sound:2202690.mp3]
4368269	8	be	-dir	I am. You are. He is.	You're very shy.	Sen çok utangaçsın.	https://audio.tatoeba.org/sentences/eng/4368269.mp3	[sound:4368269.mp3]
2242972	8	be	-dir	I am. You are. He is.	They're children.	Onlar çocuklar.	https://audio.tatoeba.org/sentences/eng/2242972.mp3	[sound:2242972.mp3]
2243651	8	be	-dir	I am. You are. He is.	They're not real.	Onlar gerçek değil.	https://audio.tatoeba.org/sentences/eng/2243651.mp3	[sound:2243651.mp3]
433544	8	be	-dir	I am. You are. He is.	This is true.	Bu doğru.	https://audio.tatoeba.org/sentences/eng/433544.mp3	[sound:433544.mp3]
392210	8	be	-dir	I am. You are. He is.	What is this?	Bu nedir?	https://audio.tatoeba.org/sentences/eng/392210.mp3	[sound:392210.mp3]
2240332	8	be	-dir	I am. You are. He is.	Where is Tom?	Tom nerede?	https://audio.tatoeba.org/sentences/eng/2240332.mp3	[sound:2240332.mp3]
871554	8	be	-dir	I am. You are. He is.	Who is there?	Kim var orada?	https://audio.tatoeba.org/sentences/eng/871554.mp3	[sound:871554.mp3]
2248736	8	be	-dir	I am. You are. He is.	It isn't easy.	Kolay değil.	https://audio.tatoeba.org/sentences/eng/2248736.mp3	[sound:2248736.mp3]
1868130	8	be	-dir	I am. You are. He is.	Tom isn't dead.	Tom ölmedi.	https://audio.tatoeba.org/sentences/eng/1868130.mp3	[sound:1868130.mp3]
2236959	8	be	-dir	I am. You are. He is.	Tom isn't done.	Tom hazır değil.	https://audio.tatoeba.org/sentences/eng/2236959.mp3	[sound:2236959.mp3]
2236968	8	be	-dir	I am. You are. He is.	Tom isn't funny.	Tom komik değil.	https://audio.tatoeba.org/sentences/eng/2236968.mp3	[sound:2236968.mp3]
2549240	8	be	-dir	I am. You are. He is.	Tom isn't hungry.	Tom aç değil.	https://audio.tatoeba.org/sentences/eng/2549240.mp3	[sound:2549240.mp3]
6357953	8	be	-dir	I am. You are. He is.	That isn't my car.	Bu benim arabam değil.	https://audio.tatoeba.org/sentences/eng/6357953.mp3	[sound:6357953.mp3]
1862	8	be	-yor	şimdiki zaman	It is raining.	Yağmur yağıyor.	https://audio.tatoeba.org/sentences/eng/1862.mp3	[sound:1862.mp3]
378913	8	be	-yor	şimdiki zaman	It is snowing.	Kar yağıyor.	https://audio.tatoeba.org/sentences/eng/378913.mp3	[sound:378913.mp3]
311854	8	be	-yor	şimdiki zaman	She is crying.	O, ağlıyor.	https://audio.tatoeba.org/sentences/eng/311854.mp3	[sound:311854.mp3]
1872079	8	be	-yor	şimdiki zaman	She is running.	Koşuyor.	https://audio.tatoeba.org/sentences/eng/1872079.mp3	[sound:1872079.mp3]
1476284	8	be	-yor	şimdiki zaman	She is talking.	O, konuşuyor.	https://audio.tatoeba.org/sentences/eng/1476284.mp3	[sound:1476284.mp3]
1202628	8	be	-yor	şimdiki zaman	She is walking.	O yürüyor.	https://audio.tatoeba.org/sentences/eng/1202628.mp3	[sound:1202628.mp3]
1689909	9	because	çünkü		I do it because I have to.	Onu yapıyorum çünkü yapmak zorundayım.	https://audio.tatoeba.org/sentences/eng/1689909.mp3	[sound:1689909.mp3]
6348166	9	because	çünkü		I can't do that, because I'm busy.	Onu yapamam, çünkü meşgulüm.	https://audio.tatoeba.org/sentences/eng/6348166.mp3	[sound:6348166.mp3]
1564891	9	because	çünkü		I'm happy because you're here.	Mutluyum çünkü buradasın.	https://audio.tatoeba.org/sentences/eng/1564891.mp3	[sound:1564891.mp3]
5055683	9	because	çünkü		I came because of Tom.	Tom'dan dolayı geldim.	https://audio.tatoeba.org/sentences/eng/5055683.mp3	[sound:5055683.mp3]
2667962	9	because	çünkü		I couldn't come because it rained.	Gelemedim çünkü yağmur yağdı.	https://audio.tatoeba.org/sentences/eng/2667962.mp3	[sound:2667962.mp3]
434862	9	because	çünkü		He couldn't come because he was ill.	Gelemedi çünkü hastaydı.	https://audio.tatoeba.org/sentences/eng/434862.mp3	[sound:434862.mp3]
3618710	9	because	-den dolayı, -in yüzünden, olduğu için		Tom is here because of me.	Tom benden dolayı burada.	https://audio.tatoeba.org/sentences/eng/3618710.mp3	[sound:3618710.mp3]
491398	9	because	-den dolayı, -in yüzünden, olduğu için		I like Tom because he's honest.	Dürüst olduğundan dolayı Tom'u severim.	https://audio.tatoeba.org/sentences/eng/491398.mp3	[sound:491398.mp3]
26797	9	because	-den dolayı, -in yüzünden, olduğu için		I was late because of the rain.	Yağmurdan dolayı geç kaldım.	https://audio.tatoeba.org/sentences/eng/26797.mp3	[sound:26797.mp3]
2113414	9	because	-den dolayı, -in yüzünden, olduğu için		I'm still angry because of her.	Ben onun yüzünden hâlâ kızgınım.	https://audio.tatoeba.org/sentences/eng/2113414.mp3	[sound:2113414.mp3]
6666325	9	because	-den dolayı, -in yüzünden, olduğu için		I got into trouble because of Tom.	Tom yüzünden başım belaya girdi.	https://audio.tatoeba.org/sentences/eng/6666325.mp3	[sound:6666325.mp3]
6086280	9	because	-den dolayı, -in yüzünden, olduğu için		We stayed home because of the snow.	Kar yüzünden evde kaldık.	https://audio.tatoeba.org/sentences/eng/6086280.mp3	[sound:6086280.mp3]
1148011	9	because	-den dolayı, -in yüzünden, olduğu için		I eat because I'm hungry.	Aç olduğum için yerim.	https://audio.tatoeba.org/sentences/eng/1148011.mp3	[sound:1148011.mp3]
388616	9	because	-den dolayı, -in yüzünden, olduğu için		I do it because I want to.	Ben istediğim için onu yaparım.	https://audio.tatoeba.org/sentences/eng/388616.mp3	[sound:388616.mp3]
5735681	9	because	-den dolayı, -in yüzünden, olduğu için		It's funny because it's true.	Doğru olduğu için komiktir.	https://audio.tatoeba.org/sentences/eng/5735681.mp3	[sound:5735681.mp3]
2047593	10	but	fakat, ama		But I was careful.	Fakat ben dikkatliydim.	https://audio.tatoeba.org/sentences/eng/2047593.mp3	[sound:2047593.mp3]
887550	11	by	tarafından		She was kissed by him.	O onun tarafından öpüldü.	https://audio.tatoeba.org/sentences/eng/887550.mp3	[sound:887550.mp3]
6812214	11	by	tarafından		I was beaten by Tom.	Tom tarafından dövüldüm.	https://audio.tatoeba.org/sentences/eng/6812214.mp3	[sound:6812214.mp3]
2329612	11	by	tarafından		I got hit by a car.	Bir araba tarafından çarpıldım. / Bir araba bana çarptı.	https://audio.tatoeba.org/sentences/eng/2329612.mp3	[sound:2329612.mp3]
6033420	11	by	tarafından		I got hit by a girl.	Bir kız tarafından çarpıldım.	https://audio.tatoeba.org/sentences/eng/6033420.mp3	[sound:6033420.mp3]
316282	11	by	tarafından		She is loved by him.	O, onun tarafından sevilir.	https://audio.tatoeba.org/sentences/eng/316282.mp3	[sound:316282.mp3]
5938387	11	by	tarafından		I was invited by Tom.	Tom tarafından davet edildim.	https://audio.tatoeba.org/sentences/eng/5938387.mp3	[sound:5938387.mp3]
2249967	11	by	yanında, yanına, yanından		Sit by me.	Yanıma otur.	https://audio.tatoeba.org/sentences/eng/2249967.mp3	[sound:2249967.mp3]
2280254	11	by	yanında, yanına, yanından		A car went by.	Bir araba geçti.	https://audio.tatoeba.org/sentences/eng/2280254.mp3	[sound:2280254.mp3]
2238760	11	by	yanında, yanına, yanından	stop by: yanımda durmak gibi	Tom stopped by.	Tom uğradı.	https://audio.tatoeba.org/sentences/eng/2238760.mp3	[sound:2238760.mp3]
1542761	11	by	yanında, yanına, yanından		I'm by your side.	Senin tarafındayım. / Senin yanındayım.	https://audio.tatoeba.org/sentences/eng/1542761.mp3	[sound:1542761.mp3]
2474288	11	by	yanında, yanına, yanından	pass by: yanından geçmek	Tom passed by me.	Tom yanımdan geçti.	https://audio.tatoeba.org/sentences/eng/2474288.mp3	[sound:2474288.mp3]
718348	11	by	yanında, yanına, yanından	fine by me: benim yanımdan/yönümden iyi	That's fine by me.	O bana uyar.	https://audio.tatoeba.org/sentences/eng/718348.mp3	[sound:718348.mp3]
72859	11	by	yanında, yanına, yanından	went by: yanımdan gitti / geçti	Two weeks went by.	İki hafta geçti.	https://audio.tatoeba.org/sentences/eng/72859.mp3	[sound:72859.mp3]
2300215	11	by	ile		I came by bus.	Otobüsle geldim.	https://audio.tatoeba.org/sentences/eng/2300215.mp3	[sound:2300215.mp3]
41748	11	by	ile		Send it by mail.	Posta ile gönder.	https://audio.tatoeba.org/sentences/eng/41748.mp3	[sound:41748.mp3]
5651623	11	by	ile		I'll go by plane.	Uçakla gideceğim.	https://audio.tatoeba.org/sentences/eng/5651623.mp3	[sound:5651623.mp3]
5157788	11	by	ile	by example: örnekle	I lead by example.	Davranışlarımla örnek oluyorum.	https://audio.tatoeba.org/sentences/eng/5157788.mp3	[sound:5157788.mp3]
287646	11	by	ile	by name: ismiyle / ismen	I know him by name.	Ben onu ismen tanıyorum. / Ben onu ismiyle tanıyorum.	https://audio.tatoeba.org/sentences/eng/287646.mp3	[sound:287646.mp3]
2548717	11	by	ile	by choice: tercihimle / tercihen	I'm here by choice.	Tercihen buradayım.	https://audio.tatoeba.org/sentences/eng/2548717.mp3	[sound:2548717.mp3]
5753753	11	by	-erek, ile (fiiller için)		We learned by doing.	Yaparak öğrendik.	https://audio.tatoeba.org/sentences/eng/5753753.mp3	[sound:5753753.mp3]
270056	11	by	-erek, ile (fiiller için)		We learn by teaching.	Öğreterek öğreniriz.	https://audio.tatoeba.org/sentences/eng/270056.mp3	[sound:270056.mp3]
279685	11	by	-erek, ile (fiiller için)		We'll decide by voting.	Oylayarak karar vereceğiz.	https://audio.tatoeba.org/sentences/eng/279685.mp3	[sound:279685.mp3]
303476	11	by	-erek, ile (fiiller için)		He lives by begging.	O dilenerek yaşıyor.	https://audio.tatoeba.org/sentences/eng/303476.mp3	[sound:303476.mp3]
5858500	11	by	(kendi) başına		I came by myself.	Kendim geldim.	https://audio.tatoeba.org/sentences/eng/5858500.mp3	[sound:5858500.mp3]
2675568	11	by	(kendi) başına		I live by myself.	Ben tek başıma yaşıyorum.	https://audio.tatoeba.org/sentences/eng/2675568.mp3	[sound:2675568.mp3]
2395	11	by	(kendi) başına		We left by train.	Biz trenle gittik. / Biz trenle ayrıldık.	https://audio.tatoeba.org/sentences/eng/2395.mp3	[sound:2395.mp3]
327656	11	by	(kendi) başına		Do it by yourself.	Onu tek başına yap.	https://audio.tatoeba.org/sentences/eng/327656.mp3	[sound:327656.mp3]
2549085	11	by	(kendi) başına		I'm all by myself.	Ben tek başımayım.	https://audio.tatoeba.org/sentences/eng/2549085.mp3	[sound:2549085.mp3]
2648354	11	by	(kendi) başına		Tom is by himself.	Tom kendi başına.	https://audio.tatoeba.org/sentences/eng/2648354.mp3	[sound:2648354.mp3]
4498221	11	by	(kendi) başına		Tom ate by himself.	Tom kendi başına yemek yedi.	https://audio.tatoeba.org/sentences/eng/4498221.mp3	[sound:4498221.mp3]
72406	11	by	-e kadar	belirli bir zamana kadar	Come home by 6:30.	6:30'a kadar eve gel.	https://audio.tatoeba.org/sentences/eng/72406.mp3	[sound:72406.mp3]
2548796	11	by	-e kadar	belirli bir zamana kadar / daha sonraki bir zamana kadar	I'll come by later.	Daha sonra geleceğim.	https://audio.tatoeba.org/sentences/eng/2548796.mp3	[sound:2548796.mp3]
2547865	11	by	-e kadar	belirli bir zamana kadar	I'll be back by then.	O zamana kadar döneceğim.	https://audio.tatoeba.org/sentences/eng/2547865.mp3	[sound:2547865.mp3]
3311982	11	by	-e kadar	belirli bir zamana kadar	We'll come by tonight.	Bu gece ziyaret edeceğiz.	https://audio.tatoeba.org/sentences/eng/3311982.mp3	[sound:3311982.mp3]
2245195	11	by	-e kadar	belirli bir zamana kadar	Come by tomorrow.	Yarına kadar gel.	https://audio.tatoeba.org/sentences/eng/2245195.mp3	[sound:2245195.mp3]
